,TaMin_2m,TaMax_2m,RHMin_2m,RHMax_2m,WndAveSpd_3m,Solar_2m_Avg,Rain_1m_Tot,hour,date,Ta_mid_2m,RH_mid_2m,VPD_kPa,Tcns
2023-05-01 12:00:00,12.29,14.93,24.29,29.84,1.9530666666666667,883.0833333333334,0.0,12,2023-05-01,13.61,27.064999999999998,1.1367595364306673,16.633190338842198
2023-05-01 13:00:00,13.74,16.49,19.86,26.66,2.3361,925.2,0.0,13,2023-05-01,15.114999999999998,23.259999999999998,1.3184034051338496,17.826565062555918
2023-05-02 11:00:00,10.6,13.77,29.58,36.49,1.7197333333333333,794.1550000000001,0.0,11,2023-05-02,12.184999999999999,33.035,0.9507459106007211,15.351910929628954
2023-05-02 12:00:00,12.76,16.16,22.94,32.76,1.6897666666666666,890.3666666666667,0.0,12,2023-05-02,14.46,27.85,1.1882779057153299,17.323480370046106
2023-05-02 13:00:00,14.98,17.1,20.06,26.12,1.9524000000000001,931.0833333333334,0.0,13,2023-05-02,16.04,23.09,1.4020212214473216,18.53066089556805
2023-05-03 11:00:00,17.15,20.51,16.65,19.69,5.688116666666667,654.7083333333334,0.0,11,2023-05-03,18.83,18.17,1.7791447024502314,19.443819348113827
2023-05-03 12:00:00,19.5,21.9,18.54,23.71,6.0825499999999995,827.2166666666667,0.0,12,2023-05-03,20.7,21.125,1.9257677286409727,21.461895126803924
2023-05-03 13:00:00,21.24,23.86,19.04,24.41,6.110883333333334,881.2583333333333,0.0,13,2023-05-03,22.549999999999997,21.725,2.1399391578424876,22.949992387795056
2023-05-04 11:00:00,18.7,22.49,45.99,61.37,2.1882333333333337,769.705,0.0,11,2023-05-04,20.595,53.68,1.1236328070010688,22.332349929848448
2023-05-04 12:00:00,21.92,24.47,41.35,48.86,3.4173,806.525,0.0,12,2023-05-04,23.195,45.105000000000004,1.56052452257945,24.089726942259794
2023-05-04 13:00:00,23.33,25.78,35.09,44.6,3.1084666666666667,842.1216666666667,0.0,13,2023-05-04,24.555,39.845,1.85564634827105,24.96958862834031
2023-05-05 11:00:00,17.55,20.17,49.13,70.62,1.3813,772.0933333333334,0.0,11,2023-05-05,18.86,59.875,0.874032491804951,21.19317955354949
2023-05-05 12:00:00,19.84,21.96,43.28,54.88,1.1485999999999998,865.15,0.0,12,2023-05-05,20.9,49.08,1.2586253067218498,22.736018305253317
2023-05-05 13:00:00,21.49,23.1,39.8,52.14,1.8045499999999999,906.3833333333333,0.0,13,2023-05-05,22.295,45.97,1.4544043648027414,23.810105337702694
2023-05-06 11:00:00,15.97,18.5,62.54,76.67,1.5318166666666666,779.1716666666667,0.0,11,2023-05-06,17.235,69.605,0.5978014845145444,20.204738680787244
2023-05-06 12:00:00,17.74,20.39,49.18,71.47,1.5892666666666666,868.4683333333334,0.0,12,2023-05-06,19.064999999999998,60.325,0.8753574172150297,21.706920911704874
