,TaMin_2m,TaMax_2m,RHMin_2m,RHMax_2m,WndAveSpd_3m,Solar_2m_Avg,Rain_1m_Tot,hour,date,Ta_mid_2m,RH_mid_2m,VPD_kPa,Tcns
2022-04-01 11:00:00,7.297,9.21,32.84,40.87,3.2198833333333337,607.1133333333333,0.0,11,2022-04-01,8.2535,36.855000000000004,0.689184617379861,11.656123971465869
2022-04-01 12:00:00,8.07,10.82,30.44,36.91,5.4026499999999995,763.0933333333334,0.0,12,2022-04-01,9.445,33.675,0.7846470421643288,13.10023845552839
2022-04-01 13:00:00,9.1,12.18,28.34,33.04,6.480733333333333,645.6316666666667,0.0,13,2022-04-01,10.64,30.689999999999998,0.888297399001878,13.57847960478061
2022-04-02 11:00:00,9.4,12.21,33.03,51.19,0.9424499999999999,671.4933333333333,0.0,11,2022-04-02,10.805,42.11,0.7501359391116993,14.012879554954702
2022-04-02 12:00:00,11.2,13.41,33.63,41.69,1.5611666666666666,764.815,0.0,12,2022-04-02,12.305,37.66,0.892099107543,15.438658794062649
2022-04-02 13:00:00,12.89,15.16,31.3,36.78,3.1049,826.4416666666667,0.0,13,2022-04-02,14.025,34.04,1.056151655778521,16.91287593245448
2022-04-03 11:00:00,10.96,13.22,22.85,45.57,5.873433333333334,522.7433333333333,0.0,11,2022-04-03,12.09,34.21,0.9282371551864765,14.351957791646276
2022-04-03 12:00:00,11.98,13.26,18.65,24.54,6.80135,385.3233333333334,0.0,12,2022-04-03,12.620000000000001,21.595,1.1454533198417616,14.017124352896113
2022-04-03 13:00:00,12.74,15.24,14.82,20.78,7.7538833333333335,694.2716666666668,0.0,13,2022-04-03,13.99,17.8,1.313200694396875,16.047109826457866
2022-04-04 11:00:00,7.77,11.25,42.59,54.29,6.753383333333333,694.7316666666667,0.0,11,2022-04-04,9.51,48.44,0.6126460746922809,13.166924025029527
2022-04-04 12:00:00,10.54,13.84,30.37,43.58,7.0617833333333335,795.7233333333334,0.0,12,2022-04-04,12.19,36.975,0.8951017740424092,15.442434094305172
2022-04-04 13:00:00,13.13,16.0,25.38,33.17,8.538883333333333,841.3833333333333,0.0,13,2022-04-04,14.565000000000001,29.275,1.1727402733582453,17.265918270297213
2022-04-05 11:00:00,9.44,11.66,49.06,57.76,7.236016666666667,319.755,0.0,11,2022-04-05,10.55,53.41,0.5935380426192756,12.787012338202052
2022-04-05 12:00:00,8.97,10.82,38.36,50.92,5.984883333333333,250.29833333333332,0.0,12,2022-04-05,9.895,44.64,0.6750317444279693,11.85589813724611
2022-04-05 13:00:00,9.59,12.15,33.96,41.03,5.59885,432.7966666666667,0.0,13,2022-04-05,10.870000000000001,37.495000000000005,0.8134485323020021,13.14218796149543
2022-04-06 11:00:00,6.901,8.66,28.62,35.32,11.465833333333334,345.5516666666666,0.0,11,2022-04-06,7.7805,31.97,0.7189658674979417,10.285965325461317
2022-04-06 12:00:00,6.76,8.9,33.63,44.16,11.14545,459.42,0.0,12,2022-04-06,7.83,38.894999999999996,0.6479642188983082,10.830521882597454
