,TaMin_2m,TaMax_2m,RHMin_2m,RHMax_2m,WndAveSpd_3m,Solar_2m_Avg,Rain_1m_Tot,hour,date
2022-04-01 11:00:00,7.297,9.21,32.84,40.87,3.2198833333333337,607.1133333333333,0.0,11,2022-04-01
2022-04-01 12:00:00,8.07,10.82,30.44,36.91,5.4026499999999995,763.0933333333334,0.0,12,2022-04-01
2022-04-01 13:00:00,9.1,12.18,28.34,33.04,6.480733333333333,645.6316666666667,0.0,13,2022-04-01
2022-04-02 11:00:00,9.4,12.21,33.03,51.19,0.9424499999999999,671.4933333333333,0.0,11,2022-04-02
2022-04-02 12:00:00,11.2,13.41,33.63,41.69,1.5611666666666666,764.815,0.0,12,2022-04-02
2022-04-02 13:00:00,12.89,15.16,31.3,36.78,3.1049,826.4416666666667,0.0,13,2022-04-02
2022-04-03 11:00:00,10.96,13.22,22.85,45.57,5.873433333333334,522.7433333333333,0.0,11,2022-04-03
2022-04-03 12:00:00,11.98,13.26,18.65,24.54,6.80135,385.3233333333334,0.0,12,2022-04-03
2022-04-03 13:00:00,12.74,15.24,14.82,20.78,7.7538833333333335,694.2716666666668,0.0,13,2022-04-03
2022-04-04 11:00:00,7.77,11.25,42.59,54.29,6.753383333333333,694.7316666666667,0.0,11,2022-04-04
2022-04-04 12:00:00,10.54,13.84,30.37,43.58,7.0617833333333335,795.7233333333334,0.0,12,2022-04-04
2022-04-04 13:00:00,13.13,16.0,25.38,33.17,8.538883333333333,841.3833333333333,0.0,13,2022-04-04
2022-04-05 11:00:00,9.44,11.66,49.06,57.76,7.236016666666667,319.755,0.0,11,2022-04-05
2022-04-05 12:00:00,8.97,10.82,38.36,50.92,5.984883333333333,250.29833333333332,0.0,12,2022-04-05
2022-04-05 13:00:00,9.59,12.15,33.96,41.03,5.59885,432.7966666666667,0.0,13,2022-04-05
2022-04-06 11:00:00,6.901,8.66,28.62,35.32,11.465833333333334,345.5516666666666,0.0,11,2022-04-06
2022-04-06 12:00:00,6.76,8.9,33.63,44.16,11.14545,459.42,0.0,12,2022-04-06
2022-04-06 13:00:00,5.397,7.898,41.21,54.97,11.773483333333333,329.3066666666667,0.0,13,2022-04-06
2022-04-07 11:00:00,5.494,7.448,33.4,37.87,11.470983333333333,436.23499999999996,0.0,11,2022-04-07
2022-04-07 12:00:00,5.779,8.1,31.26,36.85,11.7694,506.64500000000004,0.0,12,2022-04-07
2022-04-07 13:00:00,6.821,8.94,28.78,33.53,11.985833333333334,686.1616666666666,0.0,13,2022-04-07
2022-04-08 11:00:00,5.645,8.61,18.52,26.56,7.1988,727.3016666666666,0.0,11,2022-04-08
2022-04-08 12:00:00,7.568,10.35,14.69,19.37,6.731949999999999,832.815,0.0,12,2022-04-08
2022-04-08 13:00:00,9.02,11.25,13.78,16.18,6.3652500000000005,881.1166666666667,0.0,13,2022-04-08
2022-04-09 11:00:00,13.05,16.88,18.61,22.62,4.105833333333333,658.5416666666666,0.0,11,2022-04-09
2022-04-09 12:00:00,16.45,20.87,16.71,19.9,4.188883333333333,746.7316666666667,0.0,12,2022-04-09
2022-04-09 13:00:00,20.54,25.33,12.98,17.66,4.057766666666667,820.7366666666666,0.0,13,2022-04-09
2022-04-10 11:00:00,6.712,11.3,49.09,70.37,5.563416666666667,666.0966666666667,0.0,11,2022-04-10
2022-04-10 12:00:00,10.54,12.65,37.88,51.33,6.418983333333333,781.685,0.0,12,2022-04-10
2022-04-10 13:00:00,11.36,13.82,30.97,39.84,6.379183333333333,815.535,0.0,13,2022-04-10
2022-04-11 11:00:00,10.44,12.66,12.86,25.36,4.741016666666667,730.0433333333333,0.0,11,2022-04-11
2022-04-11 12:00:00,11.98,14.44,14.08,20.71,5.977783333333333,830.5416666666666,0.0,12,2022-04-11
2022-04-11 13:00:00,13.58,15.75,12.66,18.95,6.744083333333333,879.61,0.0,13,2022-04-11
2022-04-12 11:00:00,19.06,22.57,20.84,28.68,6.9533,700.6366666666667,0.0,11,2022-04-12
2022-04-12 12:00:00,18.73,20.58,26.99,30.54,8.382383333333333,802.9216666666667,0.0,12,2022-04-12
2022-04-12 13:00:00,19.35,21.34,24.59,29.29,7.703783333333333,734.8966666666668,0.0,13,2022-04-12
2022-04-13 11:00:00,-0.794,2.266,22.33,28.64,7.9037500000000005,742.895,0.0,11,2022-04-13
2022-04-13 12:00:00,1.174,3.677,19.55,23.72,8.668166666666668,844.2166666666667,0.0,12,2022-04-13
2022-04-13 13:00:00,3.01,5.238,18.09,21.01,8.5646,889.35,0.0,13,2022-04-13
2022-04-14 11:00:00,1.08,4.527,27.17,32.06,5.130867647058824,735.0088235294118,0.0,11,2022-04-14
2022-04-14 12:00:00,3.388,6.872,24.05,29.27,4.8326,840.9516666666666,0.0,12,2022-04-14
2022-04-14 13:00:00,5.496,8.85,22.05,25.94,5.092516666666667,887.3166666666667,0.0,13,2022-04-14
2022-04-15 11:00:00,-0.614,2.402,43.21,49.35,4.7258000000000004,664.7366666666666,0.0,11,2022-04-15
2022-04-15 12:00:00,1.542,3.625,41.03,46.01,4.67475,636.2616666666667,0.0,12,2022-04-15
2022-04-15 13:00:00,2.297,4.987,36.62,44.11,3.5612166666666667,841.2333333333333,0.0,13,2022-04-15
2022-04-16 11:00:00,0.788,4.034,36.89,43.78,2.1268666666666665,704.3466666666667,0.0,11,2022-04-16
2022-04-16 12:00:00,3.03,5.438,34.48,38.82,2.4002166666666667,793.5883333333334,0.0,12,2022-04-16
2022-04-16 13:00:00,4.534,6.949,33.12,37.39,2.7207833333333338,820.9283333333333,0.0,13,2022-04-16
2022-04-17 11:00:00,9.45,12.24,28.41,32.23,5.6529,745.315,0.0,11,2022-04-17
2022-04-17 12:00:00,11.61,14.58,27.25,30.81,4.048066666666667,793.23,0.0,12,2022-04-17
2022-04-17 13:00:00,13.54,17.15,24.36,28.97,3.7557666666666667,856.3983333333333,0.0,13,2022-04-17
2022-04-18 11:00:00,4.404,7.789,20.96,28.52,1.4278166666666665,765.3866666666667,0.0,11,2022-04-18
2022-04-18 12:00:00,6.461,9.45,20.25,23.8,1.9838500000000001,843.5833333333334,0.0,12,2022-04-18
2022-04-18 13:00:00,8.21,10.81,18.01,24.92,1.9851666666666667,888.3166666666667,0.0,13,2022-04-18
2022-04-19 11:00:00,11.2,13.47,36.87,39.07,13.934,653.3666666666667,0.0,11,2022-04-19
2022-04-19 12:00:00,13.23,16.38,35.57,38.18,11.265833333333335,778.1466666666668,0.0,12,2022-04-19
2022-04-19 13:00:00,15.57,18.05,34.99,38.31,10.616133333333332,879.2666666666667,0.0,13,2022-04-19
2022-04-20 11:00:00,13.87,15.7,35.49,39.19,6.062483333333334,748.8933333333333,0.0,11,2022-04-20
2022-04-20 12:00:00,14.98,17.44,33.19,37.66,6.23775,846.5833333333334,0.0,12,2022-04-20
2022-04-20 13:00:00,16.21,18.67,26.97,35.87,6.422033333333333,898.6,0.0,13,2022-04-20
2022-04-21 11:00:00,14.64,18.29,36.27,41.97,2.7380666666666666,727.7900000000001,0.0,11,2022-04-21
2022-04-21 12:00:00,17.77,20.91,31.25,38.17,2.7449333333333334,834.91,0.0,12,2022-04-21
2022-04-21 13:00:00,20.05,23.25,22.01,35.17,3.6457833333333336,882.6016666666667,0.0,13,2022-04-21
2022-04-22 11:00:00,23.22,26.79,30.23,42.82,8.060366666666667,751.8083333333333,0.0,11,2022-04-22
2022-04-22 12:00:00,26.17,31.35,17.41,32.73,6.970716666666666,852.2233333333334,0.0,12,2022-04-22
2022-04-22 13:00:00,30.58,33.06,16.09,20.61,8.367983333333333,888.95,0.0,13,2022-04-22
2022-04-23 11:00:00,8.36,10.44,54.0,66.7,8.099816666666666,624.735,0.0,11,2022-04-23
2022-04-23 12:00:00,8.83,10.44,48.72,59.12,7.8242,751.7233333333334,0.0,12,2022-04-23
2022-04-23 13:00:00,9.02,10.96,43.78,54.0,8.464616666666666,779.475,0.0,13,2022-04-23
2022-04-24 11:00:00,9.07,10.92,40.09,46.62,9.699633333333333,568.7133333333334,0.0,11,2022-04-24
2022-04-24 12:00:00,9.35,12.0,37.41,43.98,8.963733333333332,656.3678571428571,0.0,12,2022-04-24
2022-04-24 13:00:00,10.2,12.05,37.27,41.78,8.4632,566.4577777777778,0.0,13,2022-04-24
2022-04-25 11:00:00,8.5,10.92,30.24,42.53,5.1007,778.4633333333334,0.0,11,2022-04-25
2022-04-25 12:00:00,9.87,12.04,24.64,33.21,5.004816666666667,876.2,0.0,12,2022-04-25
2022-04-25 13:00:00,11.04,13.82,21.39,27.35,4.842016666666667,919.7,0.0,13,2022-04-25
2022-04-26 11:00:00,15.25,18.29,19.93,23.9,8.505233333333333,766.2883333333334,0.0,11,2022-04-26
2022-04-26 12:00:00,17.91,20.12,18.24,20.77,8.6998,851.8783333333333,0.0,12,2022-04-26
2022-04-26 13:00:00,19.36,21.57,17.45,20.5,8.401183333333334,904.7333333333333,0.0,13,2022-04-26
2022-04-27 11:00:00,16.35,19.26,25.98,30.86,1.5139500000000001,521.1966666666666,0.0,11,2022-04-27
2022-04-27 12:00:00,18.54,21.95,21.68,28.07,2.2466333333333335,534.4066666666666,0.0,12,2022-04-27
2022-04-27 13:00:00,21.31,22.72,21.71,24.15,4.297216666666667,689.8466666666667,0.0,13,2022-04-27
2022-04-28 11:00:00,16.01,18.52,42.83,51.19,4.162416666666667,740.0516666666666,0.0,11,2022-04-28
2022-04-28 12:00:00,17.75,20.34,39.68,44.66,4.631183333333333,824.9300000000001,0.0,12,2022-04-28
2022-04-28 13:00:00,19.35,22.08,37.1,42.14,4.279583333333333,893.5833333333334,0.0,13,2022-04-28
2022-04-29 11:00:00,13.59,15.53,71.18,77.98,4.794183333333334,260.47,0.0,11,2022-04-29
