date,hour,pa,ppt,swin,ta,Tcns
2023-04-01,11,91411.8984375,0.0,0.0,-1.1300048828125,12.295064252512834
2023-04-01,12,91441.0,0.0,0.0,-1.25,14.768463549486777
2023-04-01,13,91379.5,0.0,76.6500015258789,0.110015869140625,16.930636297824574
2023-04-02,11,90264.8984375,0.0,0.0,5.19000244140625,18.26587351073723
2023-04-02,12,90236.0,0.0,0.0,4.92999267578125,19.180604339744864
2023-04-02,13,90283.203125,0.0,76.46800231933594,6.420013427734375,19.740992644734703
2023-04-03,11,90402.296875,0.0,0.0,5.089996337890625,12.163525751052768
2023-04-03,12,90466.3984375,0.0,0.0,4.260009765625,13.47975542074741
2023-04-03,13,90407.703125,0.0,84.1240005493164,5.510009765625,14.886462933390662
2023-04-04,11,89641.3984375,0.0,0.0,0.990020751953125,2.6184146155058103
2023-04-04,12,89613.8984375,0.0,0.0,0.1199951171875,3.1709071567222757
2023-04-04,13,89622.0,0.0,66.52799987792969,0.730010986328125,2.7639932105907183
2023-04-05,11,90982.8984375,0.0,0.0,-2.899993896484375,4.612200989401934
2023-04-05,12,91066.6015625,0.0,0.0,-2.790008544921875,5.63730315786338
2023-04-05,13,91135.1015625,0.0,60.89799880981445,-2.3599853515625,7.2874722297994
2023-04-06,11,91941.796875,0.0,0.0,-1.199981689453125,11.887174861216184
2023-04-06,12,91996.203125,0.0,0.0,-1.22998046875,12.378924225755483
2023-04-06,13,92009.703125,0.0,96.90399932861328,0.540008544921875,12.443556433419928
2023-04-07,11,92031.796875,0.0,0.0,1.110015869140625,14.60067248596755
2023-04-07,12,92034.703125,0.0,0.0,0.779998779296875,17.20992669462648
2023-04-07,13,91998.6015625,0.0,105.56600189208984,2.779998779296875,18.84052419111332
2023-04-08,11,91363.6015625,0.0,0.0,3.77001953125,16.784670536007624
2023-04-08,12,91375.703125,0.0,0.0,2.92999267578125,19.013903432332715
2023-04-08,13,91308.3984375,0.0,108.94100189208984,4.920013427734375,20.47450911613209
2023-04-09,11,91334.8984375,0.0,0.0,9.260009765625,19.42984330206809
2023-04-09,12,91407.6015625,0.0,0.0,8.860015869140625,20.26573802563679
2023-04-09,13,91505.5,0.0,98.31199645996094,10.480010986328123,21.22009470098788
2023-04-10,11,92023.0,0.0,0.0,10.55999755859375,19.35108022338969
2023-04-10,12,92069.296875,0.0,0.0,10.17999267578125,20.811250379090623
2023-04-10,13,92047.203125,0.0,118.0510025024414,11.52001953125,21.82850964979893
2023-04-11,11,91654.5,0.0,0.0,9.149993896484377,22.389903422864684
2023-04-11,12,91640.8984375,0.0,0.0,8.58001708984375,23.962499430032388
2023-04-11,13,91577.296875,0.0,120.84100341796876,10.8699951171875,25.19180398876462
2023-04-12,11,90621.0,0.0,0.0,10.839996337890623,21.45228433228292
2023-04-12,12,90559.296875,0.0,0.0,10.010009765625,23.295089902989574
2023-04-12,13,90573.296875,0.0,124.16699981689452,12.010009765625,25.253196228687408
2023-04-13,11,89645.1015625,0.0,0.0,14.30999755859375,23.94818262125087
2023-04-13,12,89604.5,0.0,0.0,13.350006103515623,25.905414671361672
2023-04-13,13,89640.6015625,0.0,128.2530059814453,14.92999267578125,27.26299287696649
2023-04-14,11,89859.5,0.0,0.0,13.230010986328123,11.963473522899136
2023-04-14,12,89925.5,0.0,0.0,11.779998779296877,12.443063300825374
2023-04-14,13,90029.6015625,0.0,128.947998046875,11.42999267578125,11.909817428283914
2023-04-15,11,91160.796875,0.0,0.0,3.800018310546875,8.314538430200312
2023-04-15,12,91209.296875,0.0,0.0,3.709991455078125,8.457005083492161
2023-04-15,13,91300.6015625,0.0,91.66300201416016,4.5,8.695363110787378
2023-04-16,11,91890.8984375,0.0,0.0,0.410003662109375,13.17806841711637
2023-04-16,12,91909.8984375,0.0,0.0,-0.1300048828125,14.63097534229636
2023-04-16,13,91912.296875,0.0,145.9429931640625,2.209991455078125,15.664791795661362
2023-04-17,11,91182.8984375,0.0,0.0,2.100006103515625,17.92587424053188
2023-04-17,12,91136.3984375,0.0,0.0,1.57000732421875,20.135386852715847
2023-04-17,13,91092.6015625,0.0,147.2480010986328,4.07000732421875,22.04746067153737
2023-04-18,11,90153.6015625,0.0,0.0,6.399993896484375,17.91775424625639
2023-04-18,12,90101.796875,0.0,0.0,5.459991455078125,20.196976545826463
2023-04-18,13,90058.1015625,0.0,150.0780029296875,7.55999755859375,20.77209530786009
2023-04-19,11,89856.203125,0.0,0.0,10.540008544921877,18.560299910773303
2023-04-19,12,89982.796875,0.0,0.0,10.0,19.445875443841548
2023-04-19,13,90095.5,0.0,150.4149932861328,11.58001708984375,19.71372523676196
2023-04-20,11,90789.3984375,0.0,0.0,6.350006103515625,13.185877598149508
2023-04-20,12,90841.1015625,0.0,0.0,6.1300048828125,14.385097127328216
2023-04-20,13,90921.703125,0.0,151.06100463867188,6.6400146484375,13.911527986967448
2023-04-21,11,91416.296875,0.0,0.0,2.550018310546875,9.229807382959306
2023-04-21,12,91443.296875,0.0,0.0,2.1199951171875,10.808400331617154
2023-04-21,13,91452.3984375,0.0,147.17599487304688,3.02001953125,12.098898087985171
2023-04-22,11,91848.796875,0.0,0.0,0.70001220703125,9.030624942473736
2023-04-22,12,91879.6015625,0.0,1.2929999828338623,0.600006103515625,10.63123224684239
2023-04-22,13,91875.796875,0.0,132.7830047607422,1.1300048828125,11.6069442283454
2023-04-23,11,91486.203125,0.0,0.0,1.1300048828125,12.394370625887356
2023-04-23,12,91477.5,0.0,4.533999919891357,0.720001220703125,13.980488746852505
